student,course,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimeWE,avgstepTimePS,stepTimeDeviation,englishSymbolicSwitchCount,UseCount,PrepCount,MorphCount,OptionalCount,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp
jbcolem2,CSC226-001-STADDON-S16,1726,14,9316.015,8680.863,635.152,5.329528032,8.142974359,5.198121557,7.73084773,4,95,68,92,16,381,162,111,81,30,0.125972006,1.486238532,0.232258065,1366,1,1194,173,1367,2,81,1286,0.940746159,0.010241405,0.059253841,222,4,51,3,48
kjmcgowa,CSC226-001-STADDON-S16,1741,100,11838.647,11509.789,328.858,6.673419955,5.13840625,6.73087076,10.28027105,0,76,77,76,18,327,147,100,74,26,0.11941511,0.424855491,0.18642993,1440,7,1447,0,1447,2,216,1231,0.850725639,0.0691085,0.149274361,476,12,48,0,18
dhendri,CSC226-001-STADDON-S16,627,1,4401.768,4181.712,220.056,6.761548387,3.236117647,7.172747856,12.45280855,0,71,41,54,7,103,78,95,75,20,0.156312625,0.75,0.258706468,548,0,548,0,548,0,49,499,0.910583942,0.001824818,0.089416058,0,2,46,0,8
jckindle,CSC226-001-STADDON-S16,1037,23,5877.522,5806.541,70.981,5.534389831,1.163622951,5.80074026,9.443166859,4,69,58,57,34,153,112,106,41,65,0.13592233,1.037037037,0.240343348,908,1,908,1,909,4,85,824,0.906490649,0.02530253,0.093509351,131,4,46,0,21
blaffra,CSC226-001-STADDON-S16,649,17,3388.079,3176.309,211.77,5.019376296,3.471639344,5.173141694,8.205024291,0,43,33,57,10,113,100,43,30,13,0.199600798,0.925925926,0.328407225,562,0,562,0,562,0,61,501,0.891459075,0.03024911,0.108540925,68,0,44,0,5
wjbaker2,CSC226-001-STADDON-S16,2539,44,10133.831,9770.615,363.216,3.946195872,4.84288,3.919219815,7.309965386,2,219,131,81,42,572,125,348,94,254,0.066137566,1.050420168,0.12444002,1993,3,1996,0,1996,0,106,1890,0.946893788,0.022044088,0.053106212,271,2,50,0,34
mlbrow15,CSC226-001-STADDON-S16,774,41,3797.634,3578.508,219.126,4.735204489,4.13445283,4.777714286,8.165224053,0,58,43,50,12,143,101,62,31,31,0.172649573,0.935185185,0.291486291,659,0,659,0,659,0,74,585,0.887708649,0.062215478,0.112291351,8,0,33,0,9
drjohns7,CSC226-001-STADDON-S16,514,0,3355.883,3110.412,245.471,6.260975746,3.409319444,6.703474138,9.595385337,0,38,28,25,3,123,70,24,14,10,0.196078431,0.648148148,0.301075269,406,7,413,0,413,2,56,357,0.86440678,0,0.13559322,79,2,52,0,2
jchardi3,CSC226-001-STADDON-S16,3298,98,22053.031,21775.291,277.74,6.614586383,4.707457627,6.648943817,11.07449539,2,174,77,174,74,389,243,256,176,80,0.087221823,1.472727273,0.164689936,2936,9,2945,0,2945,0,159,2786,0.946010187,0.03327674,0.053989813,835,8,40,0,54
amombong,CSC226-001-STADDON-S16,1981,71,12777.62,12252.041,525.579,6.347550919,3.727510638,6.544893697,12.75142584,10,88,69,164,31,487,196,156,88,68,0.143379663,1.507692308,0.261857047,1526,0,1498,28,1526,8,159,1367,0.895806029,0.046526868,0.104193971,170,6,50,2,26
madair,CSC226-001-STADDON-S16,1728,41,10485.525,10140.135,345.39,5.967857143,4.063411765,6.064674043,11.66243581,14,149,63,159,24,284,181,215,45,170,0.136192626,1.573913043,0.250692521,1466,7,972,501,1473,2,144,1329,0.902240326,0.027834352,0.097759674,37,2,56,7,33
cwong6,CSC226-001-STADDON-S16,1408,2,4924.157,4518.384,405.773,3.419553472,3.272362903,3.433422492,6.782974551,18,109,56,45,34,318,103,141,70,71,0.10218254,0.762962963,0.180227472,1102,20,1119,3,1122,2,114,1008,0.898395722,0.001782531,0.101604278,240,8,59,3,29
stking3,CSC226-001-STADDON-S16,2272,102,9885.159,9841.856,43.303,4.290433594,0.721716667,4.385853832,7.776050949,8,143,84,141,37,518,198,207,115,92,0.124763705,0.828451883,0.21686747,1766,20,1768,18,1786,4,199,1587,0.888577828,0.057110862,0.111422172,293,2,44,1,54
otrinh,CSC226-001-STADDON-S16,1835,33,9395.312,8849.129,546.183,5.040403433,3.846359155,5.138867015,9.169861177,2,128,45,183,53,383,228,181,60,121,0.167893962,1.795275591,0.307070707,1481,0,1478,3,1481,0,123,1358,0.916948008,0.022282242,0.083051992,32,6,48,2,37
mcheste3,CSC226-001-STADDON-S16,1166,17,9184.631,9083.163,101.468,7.609470588,1.492176471,7.974682177,14.3943529,4,101,62,123,5,188,165,126,58,68,0.173137461,1.542056075,0.311320755,1017,2,1018,1,1019,0,66,953,0.935230618,0.016683023,0.064769382,7,2,36,3,31
jtwall3,CSC226-001-STADDON-S16,1005,17,8277.79,7808.525,469.265,8.044499514,6.016217949,8.210856993,13.75649615,0,49,62,101,20,148,139,93,61,32,0.170761671,1.362745098,0.30349345,881,0,881,0,881,0,67,814,0.923950057,0.019296254,0.076049943,9,0,49,1,11
rnsmith3,CSC226-001-STADDON-S16,2891,15,9457.629,8790.22,667.409,3.236697125,3.440252577,3.222221408,5.058040721,8,132,92,148,19,531,185,206,121,85,0.081497797,1.380597015,0.15391015,2356,35,2390,1,2391,2,121,2270,0.949393559,0.006273526,0.050606441,789,6,60,24,73
cwscott3,CSC226-001-STADDON-S16,2192,10,11465.325,11284.885,180.44,5.139096818,2.653529412,5.217237633,10.2673445,4,134,110,117,36,564,274,123,72,51,0.174856414,2.322033898,0.325222552,1639,28,1487,180,1667,2,100,1567,0.940011998,0.0059988,0.059988002,299,2,41,5,47
ccolgla,CSC226-001-STADDON-S16,1376,18,5444.926,5248.555,196.371,3.872635846,2.394768293,3.964165408,7.007054176,4,88,50,62,15,519,123,93,45,48,0.152416357,1.051282051,0.266233766,883,4,734,153,887,4,80,807,0.909808343,0.020293123,0.090191657,70,2,42,0,20
aliman,CSC226-001-STADDON-S16,1304,63,6138.716,5977.701,161.015,4.577715138,2.403208955,4.692072998,8.753067797,4,126,94,103,52,163,127,248,206,42,0.118802619,1.198113208,0.216170213,1176,2,1178,0,1178,0,109,1069,0.907470289,0.053480475,0.092529711,120,0,43,0,2
dmpage,CSC226-001-STADDON-S16,646,0,2701.296,2230.5,470.796,4.019785714,5.411448276,3.812820513,7.547838463,2,45,41,34,4,198,97,27,20,7,0.237745098,0.923809524,0.378167641,474,0,408,66,474,0,66,408,0.860759494,0,0.139240506,11,2,51,4,12
mtrichar,CSC226-001-STADDON-S16,720,16,3020.547,2942.554,77.993,4.065339166,1.083236111,4.385326379,8.159106381,2,43,56,41,11,189,118,33,19,14,0.25,1.123809524,0.409012132,550,4,466,88,554,1,82,472,0.85198556,0.028880866,0.14801444,11,2,49,1,15
znmarten,CSC226-001-STADDON-S16,2520,87,8751.144,8479.039,272.105,3.427788484,3.127643678,3.438377534,7.866751343,12,252,158,122,76,363,175,433,87,346,0.088428499,0.717213115,0.157444894,2142,48,2188,2,2190,6,211,1979,0.903652968,0.039726027,0.096347032,396,8,52,15,37
psbrown2,CSC226-001-STADDON-S16,1646,55,12953.289,12037.248,916.041,7.714883264,7.896905172,7.70137428,14.11000549,8,140,116,133,22,336,183,228,174,54,0.161946903,0.465648855,0.240315167,1330,13,1245,98,1343,0,213,1130,0.841399851,0.04095309,0.158600149,116,6,56,11,21
cedavi11,CSC226-001-STADDON-S16,1076,15,5627.038,5438.475,188.563,5.101575703,2.072120879,5.373987154,11.31895652,4,100,56,32,33,315,109,112,63,49,0.153737659,0.981981982,0.265853659,788,0,788,0,788,0,79,709,0.899746193,0.019035533,0.100253807,38,2,54,4,11
jmjarrie,CSC226-001-STADDON-S16,723,4,4574.932,3497.702,1077.23,6.108053405,9.704774775,5.482291536,9.491215003,2,43,36,55,3,190,102,35,21,14,0.220779221,0.953271028,0.358523726,559,0,536,23,559,2,97,462,0.82647585,0.007155635,0.17352415,0,4,64,9,10
smadapu,CSC226-001-STADDON-S16,1341,37,7418.108,7029.165,388.943,5.426560351,4.094136842,5.526073113,9.98928127,6,98,66,85,21,189,143,127,58,69,0.134778511,1.191666667,0.242167655,1178,0,1178,0,1178,2,117,1061,0.900679117,0.031409168,0.099320883,109,4,57,5,35
jtdreman,CSC226-001-STADDON-S16,632,0,2832.28,2495.349,336.931,4.291333333,4.745507042,4.236585739,7.560694935,4,58,44,22,3,135,99,29,24,5,0.212903226,0.942857143,0.347368421,515,10,388,137,525,2,60,465,0.885714286,0,0.114285714,49,5,39,6,20
miquaint,CSC226-001-STADDON-S16,924,6,4578.297,4117.845,460.452,4.799053459,5.354093023,4.74406106,9.32794204,4,73,49,33,5,168,108,55,26,29,0.150837989,0.947368421,0.260240964,786,0,680,106,786,0,70,716,0.910941476,0.007633588,0.089058524,187,2,52,3,13
nlhartze,CSC226-001-STADDON-S16,1733,9,11432.745,11267.387,165.358,6.484824163,3.30716,6.577575598,11.58569166,6,107,85,254,7,239,219,235,110,125,0.150722643,2.126213592,0.281491003,1522,2,1037,487,1524,0,71,1453,0.953412073,0.005905512,0.046587927,38,0,33,0,39
sxue2,CSC226-001-STADDON-S16,876,19,4780.037,3899.882,880.155,5.28180884,5.334272727,5.270110811,9.11119835,0,59,62,73,24,144,103,115,76,39,0.152592593,0.811023622,0.256857855,761,0,760,1,761,0,86,675,0.886990802,0.024967148,0.113009198,2,2,56,2,0
jlsimps4,CSC226-001-STADDON-S16,1008,4,5084.331,4800.077,284.254,4.917147969,2.656579439,5.178076591,8.316864071,8,86,84,33,25,227,167,61,47,14,0.232267038,1.532110092,0.403381643,797,10,615,192,807,8,88,719,0.890954151,0.004956629,0.109045849,151,8,49,1,7
aatavenn,CSC226-001-STADDON-S16,1271,4,7854.883,7706.524,148.359,6.056193524,2.214313433,6.265466667,10.95980254,0,72,71,104,25,205,134,138,96,42,0.129468599,1.229357798,0.234265734,1092,0,1092,0,1092,0,57,1035,0.947802198,0.003663004,0.052197802,126,4,45,0,25
jgibbs2,CSC226-001-STADDON-S16,1460,16,10973.907,10306.981,666.926,7.345319277,6.175240741,7.436494228,12.14794007,10,89,70,116,35,232,168,145,67,78,0.143835616,1.183098592,0.25648855,1262,0,1170,92,1262,0,94,1168,0.925515055,0.012678288,0.074484945,19,6,48,1,27
dbmclaur,CSC226-001-STADDON-S16,1801,25,13364.607,12912.879,451.728,7.319061884,3.371104478,7.631725177,13.63337058,0,104,116,108,59,361,203,184,122,62,0.151492537,0.975961538,0.262273902,1453,12,1465,0,1465,0,125,1340,0.914675768,0.017064846,0.085324232,85,0,58,16,30
sastump,CSC226-001-STADDON-S16,2806,22,10107.199,9769.012,338.187,3.566407551,3.559863158,3.566634538,7.400059321,2,106,85,192,28,866,243,168,110,58,0.130997305,2.29245283,0.247832738,1964,4,1849,119,1968,4,113,1855,0.942581301,0.011178862,0.057418699,331,2,55,0,44
rtvandyk,CSC226-001-STADDON-S16,1125,1,6772.407,6175.328,597.079,5.925115486,6.420204301,5.881264762,8.132378935,2,63,43,61,18,191,113,72,38,34,0.128555176,1.086538462,0.229908444,944,8,952,0,952,0,73,879,0.923319328,0.00105042,0.076680672,347,2,59,3,20
jlcason,CSC226-001-STADDON-S16,1086,32,5643.713,5129.674,514.039,5.084426126,6.268768293,4.989955253,8.790171728,4,92,64,40,8,199,108,96,67,29,0.137579618,1.038461538,0.242969629,908,3,639,272,911,8,126,785,0.86169045,0.035126235,0.13830955,191,13,47,9,3
dabarcen,CSC226-001-STADDON-S16,973,6,4709.061,4377.881,331.18,4.713774775,5.429180328,4.667250533,7.889972994,0,49,42,40,14,268,100,45,23,22,0.145772595,0.961538462,0.253164557,730,1,731,0,731,0,45,686,0.938440492,0.008207934,0.061559508,186,0,39,0,7
aepeck,CSC226-001-STADDON-S16,1906,24,6251.565,6083.881,167.684,3.215825617,3.493416667,3.208797996,6.115675581,4,144,104,123,34,478,206,199,94,105,0.14992722,1.401360544,0.270874425,1438,28,1190,276,1466,6,92,1374,0.937244202,0.016371078,0.062755798,208,6,33,2,17
bjforema,CSC226-001-STADDON-S16,3004,38,13755.555,13397.383,358.172,4.526342547,4.164790698,4.536871995,9.533895242,4,319,162,387,112,508,269,716,412,304,0.112882921,1.486187845,0.209828393,2513,18,1417,1114,2531,10,148,2383,0.941525089,0.015013829,0.058474911,3,4,44,4,70
asatish,CSC226-001-STADDON-S16,888,6,4706.626,4625.769,80.857,5.1494814,1.123013889,5.493787411,7.991806562,2,46,34,104,2,204,143,43,33,10,0.22555205,0.993055556,0.367609254,710,0,709,1,710,0,76,634,0.892957746,0.008450704,0.107042254,7,7,48,0,5
aakkian,CSC226-001-STADDON-S16,2949,32,16213.136,15423.573,789.563,5.431536348,4.965805031,5.457739915,9.584784388,24,114,99,79,16,488,164,144,86,58,0.074783402,0.485207101,0.129593046,2470,27,2493,4,2497,2,304,2193,0.878253905,0.012815378,0.121746095,1342,2,98,8,36
cznesbit,CSC226-001-STADDON-S16,1871,23,7119.698,6910.509,209.189,3.75709657,1.275542683,3.992206239,9.567692818,14,74,74,45,22,751,116,99,72,27,0.125541126,0.748387097,0.215013902,1144,0,1139,5,1144,20,220,924,0.807692308,0.020104895,0.192307692,142,10,94,10,13
pjayaku,CSC226-001-STADDON-S16,1068,41,7919.366,7261.437,657.929,7.265473394,4.445466216,7.708531847,14.06711533,2,68,84,91,41,165,86,198,116,82,0.10955414,0.666666667,0.188183807,924,1,925,0,925,2,140,785,0.848648649,0.044324324,0.151351351,13,3,83,5,16
smdavis7,CSC226-001-STADDON-S16,1346,29,10441.917,10134.377,307.54,7.627404675,2.72159292,8.068771497,14.84977403,4,100,74,71,17,266,119,144,114,30,0.123958333,0.888059701,0.217550274,1102,1,923,180,1103,4,143,960,0.870353581,0.026291931,0.129646419,35,6,78,0,9
machaffe,CSC226-001-STADDON-S16,1385,14,7464.351,6817.791,646.56,5.316489316,4.171354839,5.45859968,9.499438353,2,58,64,92,18,377,134,98,70,28,0.15261959,1.240740741,0.271805274,1015,12,738,289,1027,2,149,878,0.854917235,0.013631938,0.145082765,80,17,82,8,22
scmcmurr,CSC226-001-STADDON-S16,3010,21,17937.159,16802.613,1134.546,5.884894685,4.363638462,6.026762195,10.34502393,8,158,125,254,61,739,325,273,104,169,0.150462963,2.685950413,0.284962736,2309,0,2270,39,2309,2,149,2160,0.9354699,0.009094846,0.0645301,27,7,94,5,110
rjwoods3,CSC226-001-STADDON-S16,1259,8,5233.94,4815.423,418.517,4.085823575,2.124451777,4.44227214,8.822753996,2,64,56,51,15,397,125,61,37,24,0.17580872,0.625,0.27442371,882,2,772,112,884,10,173,711,0.804298643,0.009049774,0.195701357,36,6,93,19,14
ajpappas,CSC226-001-STADDON-S16,1575,20,7859.992,7544.903,315.089,4.888054726,2.693068376,5.060297116,9.705787591,4,136,126,115,39,297,116,300,253,47,0.098891731,1.094339623,0.181391712,1307,4,1310,1,1311,10,138,1173,0.894736842,0.01525553,0.105263158,150,4,67,12,14
thle,CSC226-001-STADDON-S16,977,11,8113.264,6854.099,1259.165,8.14584739,9.993373016,7.878274713,14.1888631,0,53,48,86,0,197,121,66,32,34,0.182779456,0.60199005,0.280417149,796,3,690,109,799,2,137,662,0.82853567,0.013767209,0.17146433,65,9,83,3,35
wktaylo2,CSC226-001-STADDON-S16,3005,26,13361.072,11497.527,1863.545,4.419805491,10.64882857,4.03705302,6.565382874,6,207,126,199,45,482,214,367,132,235,0.090295359,2.057692308,0.172999192,2530,11,1693,848,2541,2,171,2370,0.93270366,0.010232192,0.06729634,597,3,80,16,0
pdtrinh,CSC226-001-STADDON-S16,1027,0,5128.422,4763.919,364.503,4.902889101,3.283810811,5.095100535,8.493361895,2,69,52,95,15,210,128,103,57,46,0.178025035,1.185185185,0.3095526,836,0,833,3,836,0,117,719,0.860047847,0,0.139952153,23,0,77,1,15
tvbarnet,CSC226-001-STADDON-S16,959,0,5454.092,5039.594,414.498,5.593940513,3.342725806,5.921967098,11.89689444,4,39,33,67,4,301,81,62,43,19,0.137755102,0.75,0.232758621,674,0,674,0,674,2,86,588,0.872403561,0,0.127596439,52,4,75,2,33
ekducket,CSC226-001-STADDON-S16,590,3,6820.527,4672.551,2147.976,11.16289198,16.02967164,9.795704403,16.39676878,2,35,37,27,1,177,76,24,18,6,0.22754491,0.678571429,0.340807175,434,0,339,95,434,1,100,334,0.769585253,0.006912442,0.230414747,0,6,79,3,0
bchawkin,CSC226-001-STADDON-S16,1229,17,7418.762,7226.025,192.737,5.949287891,1.835590476,6.327517513,11.18130558,2,100,49,74,54,217,101,176,74,102,0.108137045,0.834710744,0.191469194,1030,0,1029,1,1030,0,96,934,0.906796117,0.016504854,0.093203883,141,0,73,0,26
msawada,CSC226-001-STADDON-S16,624,0,5399.005,3474.657,1924.348,8.422784711,11.95247205,7.23886875,12.28070203,0,42,42,22,2,137,74,34,26,8,0.205555556,0.685185185,0.316239316,502,2,281,223,504,4,144,360,0.714285714,0,0.285714286,26,0,102,32,3
zjgiorda,CSC226-001-STADDON-S16,1128,35,7828.867,6972.622,856.245,6.825516129,9.013105263,6.627967681,9.962053262,0,53,66,80,50,121,159,91,47,44,0.174342105,1.472222222,0.311764706,1022,4,812,214,1026,2,114,912,0.888888889,0.03411306,0.111111111,260,4,67,0,10
aeezhila,CSC226-001-STADDON-S16,573,5,3701.559,3320.223,381.336,6.295168367,3.466690909,6.946073222,12.90077752,2,40,35,25,4,106,57,47,37,10,0.146153846,0.527777778,0.228915663,478,4,482,0,482,4,92,390,0.809128631,0.010373444,0.190871369,54,4,77,1,11
nasnouwa,CSC226-001-STADDON-S16,924,0,7708.141,6473.358,1234.783,8.182739915,7.815082278,8.256834184,13.83636211,6,40,52,26,7,172,76,49,27,22,0.118380062,0.678571429,0.201591512,763,7,770,0,770,10,128,642,0.833766234,0,0.166233766,228,10,81,19,11
hmpierce,CSC226-001-STADDON-S16,384,10,2405.673,2083.722,321.951,6.044404523,2.535047244,7.68901107,14.45048219,2,25,17,12,3,112,48,9,7,2,0.255319149,0.444444444,0.324324324,286,0,286,0,286,2,98,188,0.657342657,0.034965035,0.342657343,0,2,79,3,0
cmblank2,CSC226-001-STADDON-S16,3273,72,17669.148,17138.757,530.391,5.347805085,5.467948454,5.344171188,11.93059656,6,356,201,199,126,370,178,705,129,576,0.065273194,0.485013624,0.115061409,2929,5,2754,180,2934,0,207,2727,0.929447853,0.024539877,0.070552147,235,10,58,1,47
mhester3,CSC226-001-STADDON-S16,731,14,5422.236,4785.101,637.135,7.258682731,4.826780303,7.780652033,13.21254723,2,32,42,76,8,136,98,60,33,27,0.203319502,0.907407407,0.33220339,608,3,611,0,611,20,129,482,0.788870704,0.022913257,0.211129296,27,6,79,4,15
gsubram5,CSC226-001-STADDON-S16,913,0,6339.283,6064.771,274.512,6.816433333,2.366482759,7.450578624,13.30499521,2,74,74,90,22,156,79,181,143,38,0.113669065,0.731481481,0.196762142,772,2,774,0,774,0,79,695,0.897932817,0,0.102067183,0,2,76,0,11
rtquinn2,CSC226-001-STADDON-S16,892,1,6360.349,4605.348,1755.001,7.020252759,13.60465891,5.927088803,9.577029697,0,51,40,45,5,180,74,67,47,20,0.118589744,0.685185185,0.202185792,720,6,726,0,726,0,102,624,0.859504132,0.00137741,0.140495868,173,4,80,14,14
rbscott2,CSC226-001-STADDON-S16,856,54,5369.932,4570.878,799.054,6.144086957,5.748589928,6.218881633,10.92935916,4,74,38,66,9,133,93,94,37,57,0.170955882,0.6,0.266094421,740,1,651,90,741,0,197,544,0.73414305,0.072874494,0.26585695,8,0,96,13,10
abkarche,CSC226-001-STADDON-S16,2539,50,9855.825,9568.802,287.023,3.845425283,2.633238532,3.899267319,9.22101686,2,359,162,228,103,504,131,721,458,263,0.068264721,1.18018018,0.129064039,1923,136,2033,26,2059,0,140,1919,0.932005828,0.024283633,0.067994172,26,10,60,5,38
ctmaynar,CSC226-001-STADDON-S16,629,4,2682.737,2539.41,143.327,4.172219285,1.327101852,4.746560748,7.712284496,0,41,29,25,8,126,59,44,25,19,0.136890951,0.546296296,0.218923933,517,0,430,87,517,0,86,431,0.833655706,0.007736944,0.166344294,104,2,77,1,12
ztbrownl,CSC226-001-STADDON-S16,759,5,3153.77,2928.091,225.679,4.069380645,1.896462185,4.463553354,8.22389968,6,46,48,38,6,177,73,65,43,22,0.147773279,0.675925926,0.242524917,598,0,594,4,598,0,104,494,0.826086957,0.008361204,0.173913043,0,2,83,8,8
anmodali,CSC226-001-STADDON-S16,2902,114,9880.47,9641.961,238.509,3.367576687,1.834684615,3.43864515,7.41456331,13,206,246,90,43,514,127,458,251,207,0.059680451,0.738372093,0.110434783,2283,137,2415,5,2420,6,292,2128,0.879338843,0.047107438,0.120661157,879,2,79,3,25
nagallo,CSC226-001-STADDON-S16,1826,38,7864.751,7446.032,418.719,4.267363538,4.272642857,4.267067049,7.006596414,2,109,97,148,25,271,155,226,106,120,0.106970324,1.371681416,0.198463508,1560,12,1194,378,1572,2,123,1449,0.921755725,0.024173028,0.078244275,352,0,74,0,9
htyadon,CSC226-001-STADDON-S16,490,0,2641.478,2382.81,258.668,5.241027778,2.395074074,6.01719697,9.243221341,2,26,27,25,5,101,70,13,9,4,0.220125786,0.648148148,0.328638498,403,0,303,100,403,0,85,318,0.789081886,0,0.210918114,53,2,77,1,7
nrsischo,CSC226-001-STADDON-S16,1363,15,9375.142,9038.824,336.318,6.759294881,3.540189474,6.995993808,12.45491433,4,195,129,64,14,174,88,314,167,147,0.078361532,0.666666667,0.140239044,1201,12,1213,0,1213,4,90,1123,0.925803792,0.012366035,0.074196208,0,0,64,0,7
tavanza2,CSC226-001-STADDON-S16,1607,32,9075.285,8674.383,400.902,5.571077348,3.456051724,5.733233972,8.907608715,31,138,79,33,4,278,97,159,122,37,0.08220339,0.573964497,0.14381023,1324,27,1201,150,1351,14,171,1180,0.873427091,0.023686158,0.126572909,461,10,67,2,11
